Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
glpK	5821.93760883667	-3.70507242510805	0.13239256157289	-27.9855029700304	2.43926555708636e-172	1.07522825756367e-168
glpQ	6720.62717533812	-3.24266176257592	0.144728211165551	-22.4051809696365	3.50367481483023e-111	7.72209929188584e-108
yhjX	17744.4726894985	-6.80213121362239	0.326280259019738	-20.8475107689886	1.60560817411381e-96	2.3591736104979e-93
treB	5768.34024104257	-4.92239557235347	0.251584103853476	-19.5656064789384	3.03768118441063e-85	3.34752466522052e-82
glpT	8214.65817212069	-4.7637354995612	0.248680436733243	-19.1560524910579	8.61657105877132e-82	7.5963690454128e-79
lldD	1341.35292067655	-4.0513661492583	0.215875461239762	-18.7671453067963	1.4022068175556e-78	1.03015460863084e-75
azuC	49626.0185096003	2.87988161390743	0.159010683288196	18.1112460770189	2.59800645300317e-73	1.63600177783399e-70
mglC	1372.92282023804	-3.65755687817533	0.210633503702371	-17.3645541373301	1.53084410660667e-67	8.43495102740273e-65
cheR	871.240600759061	-2.33226028868652	0.140091071497709	-16.6481722478984	3.11986070861092e-62	1.52803844483966e-59
putA	1096.78561717668	-2.0399289721426	0.123439000917052	-16.5258059202325	2.39220804047799e-61	1.0544853042427e-58
fliG	2959.78579031696	-2.07260082328753	0.125681927029029	-16.4908421781981	4.26956637565626e-61	1.7109316894448e-58
dhaK	2549.22856473329	-3.05158765339559	0.185958336290227	-16.4100610613818	1.62042421118492e-60	5.95235826908595e-58
proK	44284.8431647347	3.94934173207504	0.241949331325825	16.3230115596252	6.77112044929342e-60	2.29593068772965e-57
treC	2571.45898299673	-4.18177951921555	0.258038871452288	-16.2060060783856	4.57340826838995e-59	1.43997026050449e-56
fliS	1265.24376506639	-2.10265125382296	0.130825831883065	-16.0721412855402	4.00026008496949e-58	1.1755430969697e-55
gatZ	7187.437506742	-2.77885106547722	0.175142887682753	-15.8661941814658	1.08631424963786e-56	2.99279575775232e-54
mglA	1935.72290963507	-2.13500484177053	0.134803508431051	-15.8379026378422	1.70410536134073e-56	4.41864496046466e-54
fliT	1176.53452819615	-1.97944452953623	0.128188995779159	-15.4416103933475	8.59277109206894e-54	2.10427416521333e-51
dadX	538.019595111573	-2.50842258963922	0.162539061059333	-15.4327370497333	9.85984751740038e-54	2.28748462403689e-51
nuoC	2918.14151914398	-1.8703402251496	0.123408618839776	-15.1556693749073	6.95036717733282e-52	1.53186092588415e-49
cheB	873.395267606648	-2.39134966098775	0.160071397710221	-14.9392689462038	1.82971495070968e-50	3.84065881082298e-48
btsT	4487.40157900606	-3.98562590967449	0.269019638842667	-14.8153715722049	1.16543031122285e-49	2.33509855085014e-47
