GeneID	Name	NT1_5min	NT2_5min	NT3_5min	T1_5min	T2_5min	T3_5min
gene0	thrL	2949	1690	1423	2939	4409	2570
gene1	thrA	909	984	965	1674	2212	1614
gene2	thrB	300	325	360	220	258	245
gene3	thrC	418	424	447	383	434	378
gene4	yaaX	137	113	92	105	132	90
gene5	yaaA	487	486	401	554	821	559
gene6	yaaJ	243	585	449	144	207	162
gene7	talB	8876	10814	11609	9451	10060	7830
gene8	mog	1606	1384	1619	1358	1663	1255
gene9	satP	359	417	323	483	602	524
gene10	yaaW	70	83	77	80	122	83
gene11	mbiA	62	67	69	67	103	69
gene12	yaaI	51	75	56	88	85	52
gene13	dnaK	5183	8702	9709	4672	5702	4627
gene14	dnaJ	1195	1471	2145	907	1041	923
gene15	insL-1	1512	1490	1634	764	948	800
gene16	mokC	419	549	482	493	502	475
gene17	hokC	326	490	425	420	422	411
gene18	sokC	264	341	311	425	413	409
gene19	nhaA	1667	1666	1826	1426	1658	1470
gene20	nhaR	1480	1263	1492	1645	2223	1503
gene21	insB-1	205	148	193	230	365	233
gene22	insA-1	253	269	214	306	455	317
gene23	rpsT	90113	60094	91236	164751	200942	144289
gene24	yaaY	4323	7037	5757	11849	16926	12204
gene25	ribF	2618	2581	2422	2642	3878	2827
gene26	ileS	6373	5881	6057	4709	5654	4950
gene27	lspA	630	577	624	433	452	413
gene28	fkpB	573	571	521	266	416	309
gene29	ispH	544	537	589	299	331	301
gene30	rihC	170	381	282	70	89	101
gene31	dapB	288	314	320	288	356	300
gene32	carA	103	120	101	131	193	123
gene33	carB	204	216	190	153	173	168
gene34	caiF	281	212	144	191	383	162
gene35	caiE	115	138	149	95	183	138
gene36	caiD	25	28	27	31	46	49
gene37	caiC	106	87	104	108	158	108
gene38	caiB	51	34	47	57	50	41
gene39	caiA	322	365	247	225	270	202
gene40	caiT	83	106	117	126	188	139
gene41	fixA	25	34	48	40	41	46
gene42	fixB	22	20	21	26	25	23
gene43	fixC	15	9	7	7	11	20
gene44	fixX	1	8	5	3	6	6
gene45	yaaU	89	119	110	119	153	162
gene46	kefF	65	150	118	129	143	162
gene47	kefC	131	109	143	94	126	102
gene48	folA	1435	963	870	3218	4021	3319
gene49	apaH	294	289	283	198	250	194
gene50	apaG	588	486	351	215	292	220
gene51	rsmA	1055	967	850	560	691	537
gene52	pdxA	548	710	664	359	494	422
gene53	surA	4678	4184	4971	2534	2885	2280
gene54	lptD	2603	3212	3276	1815	2059	1681
gene55	djlA	383	376	296	382	483	390
gene56	yabP	587	577	667	735	1007	725
gene57	yabQ	131	87	75	139	170	102
gene58	rluA	561	418	354	432	471	339
gene59	rapA	1744	1439	1400	2166	2633	2311
gene60	polB	419	758	624	260	337	287
gene61	araD	17	14	11	13	14	15
gene62	araA	72	45	61	44	56	33
gene63	araB	28	34	34	32	38	28
gene64	araC	151	188	165	79	66	52
gene65	yabI	439	495	304	357	418	358
gene66	thiQ	134	102	111	63	96	57
gene67	thiP	175	142	132	83	94	91
gene68	thiB	187	152	147	280	343	285
gene69	sgrR	124	148	129	120	177	125
gene70	sgrS	1440	837	667	498	583	434
gene71	sgrT	1387	801	649	470	542	412
gene72	setA	379	368	360	414	420	374
gene73	leuD	113	85	71	76	116	94
gene74	leuC	51	50	42	32	55	36
gene75	leuB	59	62	83	50	64	68
gene76	leuA	108	116	145	131	209	130
gene77	leuL	1169	1871	2045	2266	2755	2438
gene78	leuO	559	677	752	1147	1356	990
gene79	yabR	7	4	7	22	18	15
