baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gatZ	7940.70861982566	-6.20854321447669	0.16827547754988	-36.8951157047607	5.53434086595223e-298	2.43123594241281e-294
gatY	8813.25206110369	-5.30357848649918	0.154906357059729	-34.2373198051143	6.7353937222294e-257	1.47942923108769e-253
glpA	4295.37079128483	-8.44700171098327	0.247283071673096	-34.159239667445	9.75009313324824e-256	1.42773863781198e-252
narG	15303.0188672788	-8.34070871430646	0.246995463205593	-33.7686717239979	5.68868073015995e-250	6.24759361189817e-247
gatA	5163.66704261636	-6.74250089630787	0.201122842308625	-33.5242920143374	2.13380309076511e-246	1.87475939554623e-243
gatB	3341.08980904883	-6.88995925460021	0.2076256583896	-33.1845269416148	1.80004585746267e-241	1.31793357530559e-238
nirB	7827.49169406635	-7.37031996766553	0.237911607882194	-30.9792365041519	1.02652007958965e-210	6.44214672805334e-208
grcA	9812.5793766748	-6.43171253400943	0.208776109941905	-30.8067457325417	2.12831816579009e-208	1.16871271278948e-205
narK	4380.06953396265	-9.09038115703123	0.298182535591153	-30.4859610205184	4.00009684274423e-204	1.95249171446393e-201
glpB	2792.47039776867	-8.85575032990554	0.309546768434589	-28.6087636278357	5.22741056225498e-180	2.29640145999861e-177
ydeT	1573.65638104796	5.75025479700807	0.201546505136478	28.5306599244391	4.88152847255169e-179	1.94950496181087e-176
srlA	2161.97380692453	-6.57205543126429	0.237708302656625	-27.647563664437	2.98552134028694e-168	1.09294960399004e-165
pdeL	2568.77927755355	5.34948459955169	0.19611541661163	27.2772262985594	7.90294092858888e-164	2.67058611533007e-161
narH	4421.58589212447	-6.99452639853938	0.256504637625937	-27.2686157384007	9.99799888835546e-164	3.1372292226104e-161
narJ	1429.90143963596	-7.13805803693552	0.261955125298658	-27.249163492401	1.70022092489469e-163	4.97938034870824e-161
aspA	16474.5135785296	-5.53273686385838	0.203082992166088	-27.2437233903542	1.97226131422102e-163	5.41508997085809e-161
manY	1608.9805541956	-4.69529092333214	0.175910121328105	-26.6914199585739	5.92024379643561e-157	1.52986064692598e-154
btsT	5640.44238353953	-7.06859019648393	0.270218406156627	-26.1588035286788	7.82571254169602e-151	1.9099086219817e-148
dhaK	1594.05966760344	-4.32020351303238	0.167316395444083	-25.8205629015968	5.21123835272363e-147	1.20489316229026e-144
fnrS	2651.83241992126	-6.89528706272783	0.27041949770669	-25.4984833608662	2.04909644120523e-143	4.50084033310728e-141
deoA	2363.20165075029	-5.82922886620865	0.228910570298058	-25.4650925844909	4.80454330579729e-143	1.0050647020175e-140
cdd	2464.62358117591	-5.51997679264727	0.218268199233792	-25.2898810363789	4.12763052645364e-141	8.24212768305038e-139
manZ	1617.02425364099	-4.31002444148667	0.17084480227468	-25.2277176952513	1.98922117222207e-140	3.79941243894415e-138
frdA	2854.5540214844	-6.0888673828125	0.241509947772073	-25.2116628693031	2.98403240536751e-140	5.46202264865812e-138
glpC	1612.66561685714	-8.34584214798162	0.334892681627261	-24.9209451440644	4.41187863882867e-137	7.75255314414974e-135
ecpR	1012.10554357802	6.95693597093067	0.279753565489523	24.8680868776674	1.6482480778717e-136	2.78490531003476e-134
galE	3836.69517660015	-4.99795541578558	0.202427162871579	-24.6901420979571	1.36480956117191e-134	2.22059570452896e-132
galT	2014.51809851819	-6.07736894169626	0.247691527039521	-24.5360388961814	6.0959609104951e-133	9.56412724278749e-131
pykA	1912.14275264324	-3.91375296640425	0.160953696292866	-24.3160179389911	1.32722067546665e-130	2.01051049218104e-128
napA	2086.64223541258	-5.65390029824891	0.2334125428588	-24.2227783862891	1.28043350914695e-129	1.87498146856085e-127
frdB	1454.78811808991	-6.96297226488994	0.287530626246555	-24.2164542810102	1.49275937285429e-129	2.115384491919e-127
dhaM	1731.24819421579	-4.14514461786032	0.171397632000257	-24.1843750668277	3.24877400921885e-129	4.45995756953075e-127
narI	926.111275194529	-6.10243948667549	0.252425787796225	-24.1751824960205	4.05897675982271e-129	5.4033590623943e-127
ydeS	677.525028666309	5.45575729349357	0.228349913904131	23.8920926231839	3.7009651379729e-126	4.78186466209263e-124
deoC	1981.71334947893	-4.04612294056154	0.1701268372972	-23.782978657819	5.0107119805665e-125	6.28915935160818e-123
udp	4704.87365447064	-5.01408725641279	0.211194793291828	-23.7415287482223	1.34403250474774e-124	1.64009299815467e-122
srlD	2151.36776997126	-8.35651663633184	0.357502379941958	-23.3747161003195	7.72801198350554e-121	9.17544774149725e-119
gcvT	1368.554115083	-4.07657191163586	0.175620406894497	-23.2124044336422	3.41248484583465e-119	3.94501208625043e-117
stpA	2823.80986855422	4.91372414228728	0.213425006792194	23.023188407681	2.7310404749591e-117	3.07627200166547e-115
srlE	2022.0440135007	-8.95729563655503	0.390930575848191	-22.9127527748901	3.46727898217705e-116	3.80793914217594e-114
yjjI	946.432483265478	-7.51869527792581	0.328580492765825	-22.882354380314	6.96391325802851e-116	7.46157827866323e-114
yafT	562.674784163433	5.22396785771865	0.229784004266967	22.7342537370415	2.05436018848759e-114	2.14876293048238e-112
mqsR	1623.65966910805	4.69682397233581	0.20683981501429	22.7075428974413	3.77360139244192e-114	3.85521649232497e-112
manX	1466.48529997626	-4.74026911017708	0.209015456613018	-22.6790362157449	7.21521178119152e-114	7.20373303517599e-112
dhaL	785.807748755992	-4.80049526500062	0.219471691571011	-21.8729587886163	4.70081045150824e-106	4.58903562521682e-104
fimB	1339.47085223403	4.24610293580722	0.194319058858413	21.8511913383703	7.57314252328494e-106	7.23235110973712e-104
frdC	833.234092622651	-5.10263060179201	0.234886292026261	-21.7238330843995	1.22149870448942e-104	1.14171144868553e-102
galP	9768.92747132901	-4.97141678469588	0.23015331936044	-21.6004565935033	1.77848940765111e-103	1.62768832662736e-101
mqsA	1343.33193675053	4.27325838603715	0.198403313817796	21.5382409890669	6.82496086773714e-103	6.11878634529985e-101
dgcT	822.960353588602	4.73896379092245	0.221933690920017	21.3530616792667	3.65210990532924e-101	3.20874376282227e-99
gadX	872.086762585946	5.05897120111461	0.238730109198914	21.1911736566894	1.15190033045345e-99	9.92215323859216e-98
glpT	5343.23650530481	-7.46339680258177	0.35609684640639	-20.9588960921723	1.55655198954697e-97	1.31498709424613e-95
dmsA	845.010957301743	-4.71578426907999	0.225735640045132	-20.8907386894562	6.50061547571247e-97	5.38815165751035e-95
gcvH	1125.86546200375	-4.01969873391441	0.192452685402208	-20.8866856054183	7.07631802654083e-97	5.75671575751738e-95
fdnG	1469.4986040596	-4.77546469970684	0.22884748065674	-20.86745585314	1.05817575596087e-96	8.45193835624748e-95
ecpA	616.281294301763	4.75624622024127	0.230701042304242	20.616492117833	1.95209544314306e-94	1.53134915745134e-92
dcuA	2740.86343880107	-3.14633257642249	0.155427432539077	-20.2430968910939	4.08665502475791e-91	3.14959219715114e-89
yhbT	908.634517420072	-3.4330806215764	0.170192275401335	-20.1717769709627	1.73298750862292e-90	1.31258864230698e-88
puuD	511.050596123634	4.46000240236575	0.221631436895875	20.1235098451358	4.59376364244628e-90	3.42040740360449e-88
nirC	577.59737527776	-4.84476848560193	0.24522174936182	-19.756683484276	7.02730305465671e-87	5.14515705318448e-85
ydcD	438.411318004643	5.79061441909476	0.293575696314173	19.7244339085136	1.33038442400008e-86	9.58094881087272e-85
ychH	536.152067505338	-4.66455743136531	0.236913461114508	-19.6888661767969	2.68635287503347e-86	1.90341099677775e-84
nirD	695.529440423653	-7.61417858865005	0.390264302020224	-19.5103127527546	8.9731472335264e-85	6.2569898090288e-83
pflB	35072.7892658447	-4.84226802553748	0.248765444427679	-19.4651955647531	2.16666078538738e-84	1.4872095047198e-82
gatD	4012.56180755868	-6.15004866286689	0.316581055253438	-19.4264582823615	4.61101185996171e-84	3.11633463089412e-82
yqiK	503.570018057065	4.43279339472467	0.230623483198501	19.2209107817061	2.47389330426203e-82	1.64663837660956e-80
ygeQ	1052.30252510131	4.25707653855638	0.221981804907534	19.1775922370289	5.69575388301408e-82	3.73454429971356e-80
gutQ	556.580783610974	-4.67095686281636	0.245498623120362	-19.0264075759248	1.03081731864196e-80	6.65938305999136e-79
malT	3095.37902341112	-4.58341160782045	0.241119261345351	-19.0088986763098	1.4394280163585e-80	9.16435837081577e-79
napH	462.716608048238	-6.20208571163113	0.327737478998447	-18.9239440377233	7.24264123457681e-80	4.5452747062137e-78
yfbS	872.760085152694	-3.10585070447667	0.164228714432419	-18.9117397357132	9.12946023099208e-80	5.64869278799271e-78
csgD	334.787113529692	5.38909108213773	0.286909851209306	18.7832207901648	1.03600889749736e-78	6.32109317598045e-77
dmsB	400.8191807079	-5.05421371112963	0.269212712507221	-18.7740529191914	1.23123943026491e-78	7.40936276322433e-77
gpmM	2764.1348957445	-3.46235870419286	0.184461755203573	-18.7700626635141	1.32728833224707e-78	7.87942924805592e-77
glpK	3693.35301709291	-5.56418577744022	0.296784367068859	-18.7482441625682	2.00088821006551e-78	1.17198692090904e-76
dmsC	369.918439931991	-4.58958025480653	0.245471001335831	-18.6970364313114	5.23336672565443e-78	3.02502368760525e-76
dcuC	453.686718875205	-4.28831126821484	0.231109908670381	-18.5552895282002	7.39081129271958e-77	4.21660181933989e-75
flgD	2855.50097357031	-3.87759136797864	0.209138921360498	-18.5407447965878	9.68708074281165e-77	5.45581355168867e-75
ydfJ	273.635743489289	5.06638816557751	0.275876526071617	18.3646946614888	2.51862262381047e-75	1.40054546663284e-73
nagE	1812.05239509058	-3.32623092418588	0.181964706100896	-18.2795389032286	1.20439968233394e-74	6.61365975561622e-73
nanA	1024.62074541007	-5.49720110912878	0.301214315507088	-18.2501323015619	2.06408803729494e-74	1.11944922812798e-72
yagK	482.842884637933	4.22296181600481	0.23236808638194	18.1735877837527	8.35520405677783e-74	4.47614773432012e-72
rcsA	601.421559680514	3.87989390677206	0.215008313053134	18.0453204421601	8.58650170255176e-73	4.54463879268794e-71
yfcZ	3097.76691239668	-2.89213446339916	0.161332208057825	-17.9265783206943	7.31449397228047e-72	3.8253061928843e-70
lysW	1040.15050672507	3.83113357057231	0.214512314889995	17.8597372022067	2.42779644743231e-71	1.25474232865531e-69
casA	291.160637121852	5.15344945349464	0.288926435451545	17.836545297216	3.67740668750483e-71	1.87847064862892e-69
fliI	1723.10142905297	-3.37962462766223	0.190577016909367	-17.7336421908077	2.30599906367884e-70	1.16439699847599e-68
pspB	765.911503897024	3.20216282197981	0.1807099074202	17.719907379145	2.9439666723385e-70	1.46964154449807e-68
frdD	810.934304875199	-4.32172929092866	0.245110882003482	-17.6317316293907	1.4059433436951e-69	6.93967315601411e-68
yghB	1320.77368179252	-2.77825418073297	0.158289208606315	-17.5517598779765	5.76651717094677e-69	2.81470110355213e-67
casB	455.270420294957	5.26587782284909	0.300071915031297	17.5487193538251	6.0836348564184e-69	2.93685801365341e-67
epd	3853.49234289059	-2.66012192700236	0.15178645153946	-17.5254240416234	9.16556715140305e-69	4.37655831479495e-67
ydeJ	381.582771528534	4.71041594651237	0.269116903810269	17.5032332782532	1.3536218727244e-68	6.39404396438525e-67
sieB	368.611673569862	5.78388238900551	0.331218801213152	17.4624217218978	2.76932779704383e-68	1.29421883110782e-66
treC	779.161849509267	-6.74905627017797	0.386677694847672	-17.4539580640583	3.21184786234549e-68	1.48522606939829e-66
deoB	6243.26215563107	-2.9960059752372	0.171676522321385	-17.4514600757613	3.35544801095206e-68	1.53546699084504e-66
marR	762.093591700139	3.48678558764815	0.199917661994838	17.441108268554	4.02198428414258e-68	1.82150277940602e-66
focA	2885.72664136022	-3.74834316527793	0.214964730572281	-17.4370146921268	4.32061058759384e-68	1.93677982768365e-66
fliG	3723.20642351496	-3.26584687772201	0.187675348400171	-17.4015762089243	8.02636209822909e-68	3.56159683813337e-66
abrB	304.669625836843	-4.72740648227365	0.272572192161056	-17.3436858866378	2.20155527395677e-67	9.6714323184921e-66
ompN	246.874480306503	5.23535068987372	0.302622753920445	17.2999241532579	4.71008567094279e-67	2.04865409430214e-65
yjjW	337.32859665309	-6.36032433688511	0.368785734052577	-17.2466658810027	1.1854587112764e-66	5.10560795944826e-65
ydeQ	322.336670897734	5.40631682717945	0.314363856597335	17.1976412482569	2.76562673678448e-66	1.17955322861109e-64
ydcC	348.847256322737	6.79563821767533	0.395952027051647	17.1627817346391	5.04388502307415e-66	2.1305564333043e-64
gpr	629.38949437253	-4.99148658092553	0.290881908130995	-17.1598385509685	5.30609344404621e-66	2.21996842854238e-64
phoH	606.638902551733	4.02727069060223	0.234876756090852	17.1463143379094	6.69674038924449e-66	2.77535665376897e-64
marA	842.104684366545	3.18264181158811	0.186391475644185	17.0750395134146	2.27671551962128e-65	9.34730025952925e-64
nikB	276.766956626363	-5.88347525907786	0.345241137000577	-17.0416402581481	4.03261239465883e-65	1.64030243053113e-63
ydbD	332.12509475203	4.06374215996998	0.239623035609419	16.9588960829033	1.65423158434433e-64	6.66700857800424e-63
fliF	2714.41002487037	-3.06419737019679	0.18261799573104	-16.7792739041433	3.46041270164914e-63	1.38196299984952e-61
treB	2066.302543416	-6.73701771419201	0.402019043026633	-16.7579566964585	4.95357870410786e-63	1.96045686911224e-61
fliH	1971.15102140487	-3.20097399830625	0.19102837299125	-16.7565369907269	5.07326591151885e-63	1.98989795975913e-61
galK	2447.05267116095	-3.73348104567105	0.223106455395586	-16.7340789805982	7.39928092789077e-63	2.87655231117028e-61
ycgZ	358.144157006002	4.90397608095369	0.293109792023864	16.7308503994109	7.8114963768132e-63	3.01016698099477e-61
ykgH	257.298690111798	5.30068144849312	0.317015569370246	16.7205713556056	9.28250184765634e-63	3.54591570580472e-61
flgE	6003.99524345313	-3.62459833481983	0.217415357844763	-16.6713077252244	2.11907239796419e-62	8.0250733140144e-61
yfdF	288.875556343132	4.83037065474852	0.290025252011179	16.6550002844661	2.78342885498666e-62	1.04509427008175e-60
fimE	462.15874784909	3.69772997058851	0.222347039620495	16.6304439083149	4.19474918263831e-62	1.5616553524856e-60
hsdR	1563.58674960162	-2.96449951168373	0.178772756333942	-16.5825015649819	9.32643804752772e-62	3.44294473468817e-60
pdeI	665.42792662667	3.65395487680879	0.221917912125996	16.465344513219	6.50910098354769e-61	2.38287338506042e-59
glpQ	2819.57623101006	-5.32304796698491	0.323490301983971	-16.4550465171246	7.71625754886341e-61	2.80144788530223e-59
feoC	602.724543450601	-4.29926216481875	0.261700728636937	-16.4281627613777	1.20247230255481e-60	4.32988592223222e-59
pdeA	935.886323850026	3.16016414282694	0.193202891401682	16.3567124689493	3.89600254222159e-60	1.39147472910402e-58
valT	1351.2462642715	3.72478450197855	0.228251517510323	16.3187721273752	7.25808290154649e-60	2.57135146665272e-58
yqhD	560.281396492171	-3.05054148279345	0.187015542725857	-16.3117002914843	8.1492398781556e-60	2.863968862779e-58
hypB	270.101694372896	-4.84989378610938	0.298616300063379	-16.2412225490706	2.57736040762961e-59	8.98598751644198e-58
osmB	221.229929825978	4.08712996008046	0.252770386563821	16.1693385670735	8.29844842296616e-59	2.87047904898349e-57
thrA	1267.4827223221	2.53058001689311	0.156890169516398	16.1296276541318	1.57969950165759e-58	5.42157805529827e-57
gspD	197.424557915739	4.28006673099178	0.266950413547406	16.033190112409	7.49351160183782e-58	2.55186019123051e-56
insK	487.409165474974	3.39516005970207	0.211892556463414	16.0230265582184	8.82482999816914e-58	2.98211370630439e-56
