GeneID	Name	KSIJ01	KSIJ02	KSIJ03	KSIJ04	KSIJ05	KSIJ06
gene-pC002.1	tet1	0	2	0	0	1	0
gene-pC002.2	LshCas13a	156361	201249	194563	16672	13135	9929
gene-pC002.3	cat	21746	18565	42691	6656	6945	6539
gene-pC008.1	tet2	1	0	0	6	19	14
gene-pC008.2	bla	77857	76822	80664	59355	69213	58927
gene-pC008.3	tetR	34475	39490	29114	50831	39417	34468
gene-pC008.4	RFP	1726823	1729317	1067012	1079552	995756	873640
gene-pC008.5	rop	166	68	362	42	53	60
gene0	thrL	480	474	832	232	191	188
gene1	thrA	1973	1941	2183	396	442	363
gene10	yaaW	11	19	6	7	12	6
gene100	secA	3035	2802	2412	4316	5531	6496
gene1000	hyaA	12	5	15	26	10	22
gene1001	hyaB	11	6	6	17	10	19
gene1002	hyaC	5	4	5	13	16	10
gene1003	hyaD	10	7	7	15	11	19
gene1004	hyaE	3	4	6	16	11	9
gene1005	hyaF	9	13	10	23	15	13
gene1006	appC	39	30	40	35	23	30
gene1007	appB	23	25	14	31	34	37
gene1008	appX	3	5	15	17	18	13
gene1009	appA	25	30	27	41	42	35
gene101	mutT	36	42	28	42	55	45
gene1010	etk	125	95	133	145	146	129
gene1011	etp	22	24	23	9	13	11
gene1012	gfcE	33	35	37	20	22	9
gene1013	gfcD	145	105	126	30	37	22
gene1014	gfcC	207	201	277	36	29	48
gene1015	gfcB	363	409	370	28	42	37
gene1016	gfcA	180	168	217	23	28	54
gene1017	insA-4	0	0	3	7	13	4
gene1018	insB-4	4	5	12	3	8	1
gene1019	cspH	1366	1282	1683	127	115	231
gene102	yacG	71	56	98	106	139	87
gene1020	cspG	17808	18758	22633	9819	13068	19139
gene1021	ymcF	8339	8305	13226	4389	7109	8448
gene1022	ymcE	4246	4768	6027	2117	3791	4222
gene1023	gnsA	950	802	867	540	803	813
gene1024	yccM	37	34	38	97	109	86
gene1025	torS	58	58	75	90	105	87
gene1026	torT	22	19	17	31	21	23
gene1027	torR	44	46	69	35	43	43
gene1028	torC	25	8	19	3	3	3
gene1029	torA	18	19	25	13	12	15
gene103	zapD	207	177	238	350	368	316
gene1030	torD	12	11	28	21	26	26
gene1031	cbpM	103	94	100	126	115	63
gene1032	cbpA	1074	1010	1441	353	274	169
gene1033	yccE	355	444	590	25	10	9
gene1034	agp	170	218	176	376	396	478
gene1035	yccJ	17	13	20	565	317	174
gene1036	wrbA	17	15	21	1565	843	366
gene1037	ymdF	22	34	12	9	8	10
gene1038	rutG	11	8	14	22	42	27
gene1039	rutF	1	0	2	1	1	1
gene104	coaE	98	72	119	164	170	197
gene1040	rutE	9	4	5	5	1	0
gene1041	rutD	8	0	6	10	2	2
gene1042	rutC	0	2	0	0	0	2
gene1043	rutB	2	0	4	5	4	1
gene1044	rutA	6	3	3	2	2	0
gene1045	rutR	77	67	63	55	71	69
gene1046	putA	229	152	195	521	1285	1018
gene1047	ymdG	38	40	35	12	5	2
gene1048	putP	396	372	404	207	335	301
gene105	yacM	1	3	2	0	0	0
gene1050	efeO	612	636	455	130	214	283
gene1051	efeB	337	365	259	102	145	190
gene1052	phoH	1131	1046	1035	52	85	89
gene1053	pgaD	46	46	50	10	14	26
gene1054	pgaC	82	93	129	14	13	27
gene1055	pgaB	111	129	138	21	21	21
gene1056	pgaA	203	218	236	26	35	35
gene1057	dgcT	1281	1433	1780	73	59	58
gene1058	insF-4	2	6	6	0	0	1
gene1059	insE-4	0	0	0	0	0	1
gene106	guaC	883	842	1007	437	393	454
gene1061	ycdU	334	435	419	27	16	15
gene1062	serX	22	19	21	8	5	11
gene1063	ghrA	105	104	145	319	296	252
gene1064	ycdX	135	132	140	318	365	259
gene1065	ycdY	288	291	293	630	665	608
gene1066	ycdZ	353	508	346	1241	1250	1573
gene1067	csgG	173	211	193	38	42	36
gene1068	csgF	310	369	313	9	4	7
gene1069	csgE	228	293	353	5	4	5
gene107	hofC	31	35	34	25	29	32
gene1070	csgD	531	619	697	17	14	19
gene1071	csgB	39	34	37	1	3	0
gene1072	csgA	78	76	97	15	13	13
gene1073	csgC	26	21	41	195	281	132
gene1074	ymdA	58	61	45	343	359	265
gene1075	ymdB	46	17	45	209	226	119
gene1076	clsC	89	70	123	408	391	295
gene1077	opgC	256	207	288	33	38	73
gene1078	opgG	445	486	458	864	964	772
gene1079	opgH	698	652	725	2362	2369	2473
gene108	hofB	41	54	44	68	83	79
gene1080	yceK	9	7	14	10	22	20
gene1081	msyB	12	16	21	86	29	21
gene1082	mdtG	154	119	152	206	213	207
gene1083	lpxL	206	171	246	306	411	399
gene1084	yceA	884	1001	669	207	206	233
