GeneID	Name	WT	dCRISPR
gene-LSE_RS00005	dnaA	22784	10962
gene-LSE_RS00010	dnaN	13526	9597
gene-LSE_RS00015	LSE_RS00015	1508	993
gene-LSE_RS00020	yaaA	5202	2776
gene-LSE_RS00025	recF	19976	11825
gene-LSE_RS00030	gyrB	25228	16586
gene-LSE_RS00035	gyrA	26159	28631
gene-LSE_RS00040	cls	6545	4335
gene-LSE_RS00045	speG	1855	1383
gene-LSE_RS00050	mvk	10152	5995
gene-LSE_RS00055	mvaD	9789	5666
gene-LSE_RS00060	LSE_RS00060	12701	8096
gene-LSE_RS00065	qoxA	21180	12306
gene-LSE_RS00070	qoxB	36017	27490
gene-LSE_RS00075	qoxC	15633	14249
gene-LSE_RS00080	qoxD	7583	6949
gene-LSE_RS00085	LSE_RS00085	1266	1366
gene-LSE_RS00090	LSE_RS00090	109	41
gene-LSE_RS00095	LSE_RS00095	824	392
gene-LSE_RS00100	LSE_RS00100	590	289
gene-LSE_RS00105	LSE_RS00105	2495	1414
gene-LSE_RS00110	LSE_RS00110	1456	1679
gene-LSE_RS00115	LSE_RS00115	348	238
gene-LSE_RS00120	LSE_RS00120	337	316
gene-LSE_RS00125	LSE_RS00125	310	285
gene-LSE_RS00130	LSE_RS00130	166	117
gene-LSE_RS00140	LSE_RS00140	216	122
gene-LSE_RS00145	LSE_RS00145	1936	995
gene-LSE_RS00150	LSE_RS00150	5605	2917
gene-LSE_RS00155	arcA	5578	3530
gene-LSE_RS00160	rpsF	52640	77889
gene-LSE_RS00165	ssb	77260	116772
gene-LSE_RS00170	rpsR	16791	29157
gene-LSE_RS00175	LSE_RS00175	12260	12630
gene-LSE_RS00180	LSE_RS00180	37373	34223
gene-LSE_RS00185	LSE_RS00185	15772	13957
gene-LSE_RS00190	LSE_RS00190	23322	19585
gene-LSE_RS00195	LSE_RS00195	11902	10129
gene-LSE_RS00200	pdeA	16978	15554
gene-LSE_RS00205	rplI	5683	5051
gene-LSE_RS00210	dnaB	16564	14472
gene-LSE_RS00215	LSE_RS00215	9415	8606
gene-LSE_RS00220	LSE_RS00220	103	107
gene-LSE_RS00225	esaA	195	101
gene-LSE_RS00230	essA	22	21
gene-LSE_RS00235	LSE_RS00235	20	13
gene-LSE_RS00240	essB	65	49
gene-LSE_RS00245	essC	171	138
gene-LSE_RS00250	LSE_RS00250	72	58
gene-LSE_RS00255	LSE_RS00255	29	23
gene-LSE_RS00260	LSE_RS00260	91	65
gene-LSE_RS00270	LSE_RS00270	909	471
gene-LSE_RS00275	LSE_RS00275	901	589
gene-LSE_RS00280	LSE_RS00280	964	677
gene-LSE_RS00285	LSE_RS00285	1142	950
gene-LSE_RS00290	LSE_RS00290	1093	1088
gene-LSE_RS00300	LSE_RS00300	551	447
gene-LSE_RS00305	LSE_RS00305	762	533
gene-LSE_RS00310	LSE_RS00310	2045	1366
gene-LSE_RS00315	LSE_RS00315	516	395
gene-LSE_RS00320	LSE_RS00320	593	518
gene-LSE_RS00330	LSE_RS00330	409	492
gene-LSE_RS00335	LSE_RS00335	274	307
gene-LSE_RS00340	LSE_RS00340	280	330
gene-LSE_RS00345	LSE_RS00345	729	827
gene-LSE_RS00350	LSE_RS00350	684	546
gene-LSE_RS00355	LSE_RS00355	242	188
gene-LSE_RS00360	LSE_RS00360	523	391
gene-LSE_RS00365	LSE_RS00365	297	248
gene-LSE_RS00370	LSE_RS00370	197	157
gene-LSE_RS00375	LSE_RS00375	797	669
