SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.227566725882156	0.64207476086532
NC_000913.3	2	+	0.161657325655065	0.760465732676625
NC_000913.3	7	+	0.115211152435756	0.810854329249614
NC_000913.3	8	+	0.157848376305186	0.731902634822652
NC_000913.3	9	+	0.00445580453682472	0.994001533910946
NC_000913.3	10	+	0.15293718995676	0.751453332069149
NC_000913.3	13	+	0.0311011524340214	0.959688742115108
NC_000913.3	15	+	0.157647602544218	0.730215242460121
NC_000913.3	16	+	0.0180987259155868	0.974948520299366
NC_000913.3	24	+	0.23046371950609	0.655507271718376
NC_000913.3	26	+	0.0773673085924651	0.900814881829912
NC_000913.3	27	+	0.126387700699123	0.811492075813176
NC_000913.3	29	+	0.059036267813954	0.910095331133161
NC_000913.3	30	+	0.0831057964868219	0.879841748490789
NC_000913.3	32	+	0.196278150267236	0.667132086479318
NC_000913.3	34	+	0.340013570035267	0.39801064551136
NC_000913.3	35	+	0.168397260118851	0.719897055838783
NC_000913.3	38	+	0.127708493374634	0.800947047206558
NC_000913.3	39	+	0.0229433971147498	0.967362125608789
NC_000913.3	40	+	0.0950520816128094	0.852536975027611
NC_000913.3	43	+	0.0260132801130469	0.966669751710091
NC_000913.3	44	+	0.105709777941587	0.842053364919713
NC_000913.3	46	+	0.128335907815059	0.795593996954906
NC_000913.3	47	+	0.219174692920006	0.625446577640126
NC_000913.3	48	+	0.236062621626539	0.588465039506323
NC_000913.3	49	+	0.0100783298370475	0.986941184077797
NC_000913.3	50	+	0.209969888247892	0.627638477320378
NC_000913.3	51	+	0.538768706402019	0.142285764706715
NC_000913.3	52	+	0.283317626794152	0.511396370482408
NC_000913.3	53	+	0.0870282111668654	0.887749308959867
NC_000913.3	54	+	0.161159684669347	0.745147472141805
NC_000913.3	55	+	0.141559267312582	0.779251382139914
NC_000913.3	66	+	0.428635122715617	0.355247046454989
NC_000913.3	80	+	0.217675115850739	0.67893211217495
NC_000913.3	85	+	0.269149243446482	0.57829645669834
NC_000913.3	86	+	0.0755959068943941	0.904576136407441
