SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.22003589865476	0.000530140646520657
NC_000913.3	1	+	1.35980195465904	0.00412866660590449
NC_000913.3	5	+	0.385174359277104	0.491058096943729
NC_000913.3	6	+	1.54788440815669	0.000318785469454242
NC_000913.3	7	+	1.15729283925789	0.00911613703666321
NC_000913.3	10	+	1.12383423237924	0.0116797489736097
NC_000913.3	11	+	0.766694424491736	0.0708614021719406
NC_000913.3	12	+	1.44393361725789	4.81275595171016e-05
NC_000913.3	13	+	0.973899339841835	0.0814972010176055
NC_000913.3	22	+	0.609731036153227	0.221438305195524
NC_000913.3	24	+	1.09596906414689	0.00470992381515231
NC_000913.3	29	+	1.05926460397557	0.0481223935772794
NC_000913.3	30	+	0.834816553050213	0.0442435104594352
NC_000913.3	31	+	0.509437386724487	0.25450214179749
NC_000913.3	33	+	2.98202875408602	5.45087750448478e-18
NC_000913.3	34	+	0.727171485054832	0.0552372560258724
NC_000913.3	35	+	0.061817184091406	0.918475293756511
NC_000913.3	36	+	0.597815329535643	0.127561130698121
