SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	3.29235591576936	1.75379545824783e-18
NC_000913.3	12	+	0.244050658974467	0.637053205943857
NC_000913.3	13	+	0.81200463887917	0.155404952488434
NC_000913.3	32	+	0.18324722074442	0.72916670137248
NC_000913.3	33	+	4.5663397955008	1.51498453810283e-33
NC_000913.3	34	+	5.38248322270425	1.03100693998586e-54
NC_000913.3	35	+	0.544981107729487	0.153388665743271
NC_000913.3	36	+	0.369610353878254	0.424973833958613
NC_000913.3	37	+	0.140370664019378	0.784232467034042
NC_000913.3	38	+	2.03277009400942	1.79091665156182e-08
NC_000913.3	39	+	0.405298799899274	0.292205600438918
NC_000913.3	40	+	0.520933597160358	0.216952064299366
NC_000913.3	41	+	0.378209634977077	0.349049361540865
NC_000913.3	42	+	0.256330921113444	0.62427926679389
NC_000913.3	53	+	0.0176005969616891	0.978558737054693
NC_000913.3	55	+	0.0298049548405789	0.956254686894885
NC_000913.3	60	+	0.285886185234487	0.645539141955651
NC_000913.3	61	+	0.13394687137424	0.835339476114279
NC_000913.3	65	+	0.0924561914373149	0.89162046686807
NC_000913.3	66	+	0.00191834142223002	0.997535375224006
NC_000913.3	69	+	0.0990234516973208	0.865268589181857
