SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	2.20372726629965	1.89199508357853e-08
NC_000913.3	6	+	1.08866261689923	0.0473621092654672
NC_000913.3	7	+	0.649922739096544	0.201039416249532
NC_000913.3	8	+	0.903650396479426	0.0375800075698118
NC_000913.3	10	+	0.719179162602681	0.2072262177621
NC_000913.3	11	+	1.11147213089542	0.00979560305406207
NC_000913.3	18	+	1.0032342125125	0.0273549410283762
NC_000913.3	19	+	0.733851659954254	0.0758342319506546
NC_000913.3	20	+	0.816658363780242	0.0715691223543601
NC_000913.3	21	+	0.136074092770757	0.832537012402419
NC_000913.3	31	+	0.566832514107438	0.233718561405554
NC_000913.3	32	+	0.406805379370811	0.363596869134507
NC_000913.3	33	+	0.431192236625508	0.314496185721386
NC_000913.3	34	+	0.938916664283061	0.00987537947455167
NC_000913.3	35	+	5.24855541884814	3.58474846835013e-50
NC_000913.3	36	+	0.306952508676484	0.501536433742789
NC_000913.3	37	+	0.844339027313272	0.0429173388518841
NC_000913.3	41	+	0.92068652430581	0.089692798053626
NC_000913.3	44	+	1.04354002779267	0.031705847736553
NC_000913.3	53	+	0.385992739265203	0.469949648304519
NC_000913.3	55	+	0.43186384017671	0.400859599631989
NC_000913.3	62	+	0.339158711336216	0.539583732975521
