SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.771417367459312	0.0258116657040634
NC_000913.3	1	+	0.451117005707926	0.371080500761662
NC_000913.3	2	+	0.25000310280931	0.638442426347165
NC_000913.3	4	+	0.119416684944428	0.865783748371823
NC_000913.3	5	+	0.242541785772304	0.600502553338804
NC_000913.3	6	+	0.0762768569924717	0.887245698747745
NC_000913.3	8	+	0.416730520017686	0.291590667453992
NC_000913.3	9	+	0.134549709472333	0.789568233004652
NC_000913.3	11	+	0.56587654462446	0.127882360157923
NC_000913.3	12	+	0.334788152113977	0.441412222093416
NC_000913.3	13	+	0.594294306775409	0.0966170714324767
NC_000913.3	14	+	0.555815717272116	0.138723450883013
NC_000913.3	15	+	0.438037700044712	0.275461375433296
NC_000913.3	16	+	0.372758419825915	0.336891624135063
NC_000913.3	19	+	0.394625343602376	0.428178374100748
NC_000913.3	20	+	0.566371898291771	0.157230511985211
NC_000913.3	21	+	0.31112619060313	0.577070535795955
NC_000913.3	22	+	0.466883458279028	0.377921184555585
NC_000913.3	23	+	0.364613283943665	0.477209023566626
NC_000913.3	25	+	0.769810944524062	0.0569195740761806
NC_000913.3	26	+	0.771207378414614	0.110537016399275
NC_000913.3	27	+	0.554187718091944	0.216654455801869
NC_000913.3	28	+	0.573211398601855	0.154977525257717
NC_000913.3	29	+	0.779726699291829	0.0962295551179539
NC_000913.3	30	+	0.317370139007688	0.525827429800432
NC_000913.3	31	+	0.575436815661346	0.217928987389105
NC_000913.3	32	+	0.640328365166607	0.10718106684925
NC_000913.3	33	+	1.05518032341535	0.00464139434115696
NC_000913.3	34	+	3.86038161853175	1.49255450193806e-25
NC_000913.3	35	+	0.171295061426284	0.757794128026891
NC_000913.3	36	+	0.671791622732722	0.0863795675301414
NC_000913.3	37	+	0.415863531096093	0.357316697540942
NC_000913.3	38	+	0.507259909258845	0.237629754267515
NC_000913.3	39	+	0.91482309976993	0.0732744551759274
NC_000913.3	40	+	0.904674552170773	0.0690836427228173
NC_000913.3	41	+	0.549761649227879	0.218188011691517
NC_000913.3	42	+	0.403183489936191	0.44673969446742
NC_000913.3	43	+	0.0998584124697753	0.853584188085526
NC_000913.3	44	+	0.627373225295318	0.110042974559807
NC_000913.3	45	+	0.347910941674328	0.509497466135525
NC_000913.3	47	+	0.0637068793497694	0.919947588721212
NC_000913.3	48	+	0.407596823449577	0.35209421612276
NC_000913.3	54	+	0.439767211954753	0.348462267858267
NC_000913.3	66	+	0.115341267932309	0.820470494885603
NC_000913.3	67	+	0.154377624631466	0.763541362826919
NC_000913.3	70	+	0.411132736979199	0.433940983369366
NC_000913.3	74	+	0.362705884771843	0.469388356461985
NC_000913.3	75	+	0.115798599758086	0.839376352480725
NC_000913.3	76	+	0.104410693693475	0.866489254659873
