SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.964994201635499	0.00806883661416359
NC_000913.3	4	+	0.688269047336548	0.0870803590276733
NC_000913.3	5	+	0.413621082633274	0.297491871707259
NC_000913.3	7	+	0.364256496718866	0.363712813591575
NC_000913.3	8	+	0.827208611914896	0.0200656490163039
NC_000913.3	10	+	0.0779252463950878	0.880953024506746
NC_000913.3	12	+	0.0343636668285538	0.950983055979326
NC_000913.3	22	+	0.163435175177471	0.737899314643325
NC_000913.3	24	+	0.2570090191821	0.565498525859547
NC_000913.3	26	+	0.125112814868936	0.793991185008509
NC_000913.3	27	+	0.15366560620779	0.742711222144478
NC_000913.3	29	+	0.0650219057056929	0.922661171745752
NC_000913.3	30	+	0.736917152530815	0.0514248649646641
NC_000913.3	31	+	0.264716004761317	0.534274244952391
NC_000913.3	32	+	0.627091138569442	0.0852495229827772
NC_000913.3	33	+	2.19351406240331	1.01109083593535e-10
NC_000913.3	34	+	0.385240540098768	0.35148927146087
NC_000913.3	35	+	0.362831711358443	0.382704127385233
NC_000913.3	36	+	0.157577857243856	0.742484128966408
NC_000913.3	37	+	0.0193237002120673	0.972443923416312
NC_000913.3	38	+	0.158415601936863	0.751304024667924
NC_000913.3	39	+	0.0130794635579132	0.982232630232262
NC_000913.3	43	+	0.0962908179835557	0.8445505265178
NC_000913.3	48	+	0.0820129759021175	0.882842539078925
NC_000913.3	54	+	0.21694044400652	0.629836909832166
NC_000913.3	55	+	0.201603507086951	0.667000672579784
NC_000913.3	61	+	0.00314913154781871	0.995466746759231
NC_000913.3	63	+	0.0635590470933863	0.905597955597095
NC_000913.3	65	+	0.143255418023921	0.792753801071083
NC_000913.3	66	+	0.124487485182107	0.805492615511679
NC_000913.3	68	+	0.00335171487155455	0.995258544671357
NC_000913.3	73	+	0.158896853239855	0.751978651888313
NC_000913.3	74	+	0.274674226915404	0.52361253630216
NC_000913.3	75	+	0.294447852104825	0.54082773246534
