SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.02222983274761	0.00548814576608662
NC_000913.3	2	+	0.237863988406176	0.702658732587334
NC_000913.3	4	+	0.177026653437066	0.748349699619579
NC_000913.3	5	+	0.346099100581239	0.506478202956463
NC_000913.3	6	+	0.184324645413012	0.750891367512544
NC_000913.3	7	+	0.333311008260305	0.538448219440793
NC_000913.3	8	+	0.6446347858633	0.0833799120059575
NC_000913.3	9	+	0.40716155146403	0.317952305258845
NC_000913.3	10	+	0.191059164956261	0.708564312662147
NC_000913.3	11	+	0.358837359565644	0.3820945339935
NC_000913.3	12	+	0.815668726775748	0.0165605284766267
NC_000913.3	13	+	0.872988244570462	0.0151456867762003
NC_000913.3	14	+	0.875587942371559	0.0217463663831351
NC_000913.3	15	+	0.132471378278712	0.789099177622964
NC_000913.3	16	+	0.424754681943254	0.270884954445718
NC_000913.3	17	+	0.946265659265809	0.0241061175567991
NC_000913.3	18	+	0.281691462345444	0.554987328826101
NC_000913.3	20	+	0.441508325689103	0.350997243874027
NC_000913.3	21	+	0.388893322942569	0.393031780809615
NC_000913.3	22	+	1.08563530379458	0.00729519692725421
NC_000913.3	23	+	0.935098576429413	0.01799766670275
NC_000913.3	24	+	0.585113045420754	0.112431148004327
NC_000913.3	25	+	0.932156992849994	0.0234284394658147
NC_000913.3	28	+	0.816414705408886	0.0610131891287004
NC_000913.3	29	+	0.253234565031668	0.676353719513046
NC_000913.3	30	+	0.2807813437238	0.598835414219647
NC_000913.3	31	+	0.615129816275186	0.207621042280756
NC_000913.3	32	+	0.665449308514879	0.0809259612621821
NC_000913.3	33	+	0.852609612126496	0.0230175676396027
NC_000913.3	34	+	0.751318936940993	0.0887711303393719
NC_000913.3	35	+	0.421813320012986	0.319285091190307
NC_000913.3	36	+	0.716601259990131	0.0793956350898191
NC_000913.3	37	+	0.450513635008288	0.374844545891283
NC_000913.3	38	+	0.540293779441938	0.263495621857888
NC_000913.3	39	+	0.614906324885002	0.185021066504645
NC_000913.3	40	+	0.454163084823728	0.296686929606942
