SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.7109794617278	3.13822433630623e-08
NC_000913.3	7	+	0.705827713730912	0.181356681863986
NC_000913.3	10	+	0.69716519719536	0.153188612802928
NC_000913.3	11	+	0.529376938756559	0.335154202614844
NC_000913.3	12	+	1.82597786596003	1.84140410116951e-06
NC_000913.3	13	+	1.70168753927617	6.47625515955863e-05
NC_000913.3	15	+	0.319217051888039	0.524022109421728
NC_000913.3	20	+	0.161025821917725	0.8073035247895
NC_000913.3	40	+	0.923214585341986	0.0395899628611842
NC_000913.3	42	+	0.869588332950932	0.0795792450888633
