SeqID	Pos	Strand	logFC	logCPM	LR	PValue	PValue.adj	MatchedFeatureType	MatchedFeatureID	MatchedFeatureGene	MatchedFeatureDescription	MatchedFeatureStart	MatchedFeatureEnd	MatchedFeatureStrand
NC_000913.3	781181	+	7.15895559514473	3.51551982484431	261.747701123122	7.13779129806229e-59	6.91866110521177e-55	tRNA	rna27	lysY	tRNA-Lys	781147	781222	+
NC_000913.3	780876	+	6.36128002000647	3.43664050186031	240.060014582149	3.81609936275964e-54	1.84947255616146e-50	tRNA	rna25	lysW	tRNA-Lys	780843	780918	+
NC_000913.3	2729410	-	7.35611610949685	3.1569580679055	236.611997635498	2.15507677897275e-53	6.96305307286096e-50	tRNA	rna86	gltW	tRNA-Glu	2729369	2729444	-
NC_000913.3	4175421	+	6.77232288795697	4.51022359853972	232.783784801572	1.47319779190276e-52	3.56992654922837e-49	tRNA	rna160	thrU	tRNA-Thr	4175388	4175463	+
NC_000913.3	780587	+	6.47494075209259	4.70136218855531	225.551490934756	5.56581379014426e-51	1.07898866135737e-47	tRNA	rna23	lysT	tRNA-Lys	780554	780629	+
NC_000913.3	781402	+	6.4174456716735	4.46551204306125	216.095115556716	6.42942980283139e-49	1.03867438464741e-45	tRNA	rna28	lysZ	tRNA-Lys	781369	781444	+
NC_000913.3	780588	+	8.10268574320133	7.65992013131856	213.579626036143	2.27469668636747e-48	3.14980499727998e-45	tRNA	rna23	lysT	tRNA-Lys	780554	780629	+
NC_000913.3	780877	+	8.10306795517297	5.97805493917418	198.862800975549	3.69826163913956e-45	4.48090625852247e-42	tRNA	rna25	lysW	tRNA-Lys	780843	780918	+
NC_000913.3	4209809	+	5.73675506962861	5.07000348728875	193.778747720436	4.75941508931854e-44	5.12589005119606e-41	tRNA	rna166	gltV	tRNA-Glu	4209774	4209849	+
NC_000913.3	3943470	+	6.15655839481644	5.08112435353591	188.468504164491	6.86484040219178e-43	6.04917254713136e-40	tRNA	rna136	gltU	tRNA-Glu	3943435	3943510	+
NC_000913.3	4175422	+	4.70063823385595	3.61808803134468	188.489540071924	6.79263957054812e-43	6.04917254713136e-40	tRNA	rna160	thrU	tRNA-Thr	4175388	4175463	+
NC_000913.3	4168407	+	5.1048247594494	4.54640432394519	178.683371350753	9.39505825186766e-41	7.5888583029461e-38	tRNA	rna157	gltT	tRNA-Glu	4168372	4168447	+
NC_000913.3	781403	+	8.08153117275539	7.142973281405	174.035102114232	9.72565390805405e-40	7.25159717928984e-37	tRNA	rna28	lysZ	tRNA-Lys	781369	781444	+
NC_000913.3	696799	-	7.25923518046918	4.80956792845969	167.704013482371	2.34775284352415e-38	1.62548345087711e-35	tRNA	rna19	glnW	tRNA-Gln	696756	696830	-
NC_000913.3	696908	-	7.30706075691888	4.86027124110571	152.613296455915	4.65357882528049e-35	3.00714263689625e-32	tRNA	rna20	glnU	tRNA-Gln	696865	696939	-
NC_000913.3	697014	-	4.25183199397708	4.23366584314317	142.533619090128	7.43368228795787e-33	4.50341765107348e-30	tRNA	rna21	leuW	tRNA-Leu	696963	697047	-
NC_000913.3	4449307	-	3.35519326677282	3.54110918233518	124.070279621454	8.1312022718202e-29	4.63622021298548e-26	CDS	cds4181	ppa	inorganic pyrophosphatase	4449122	4449652	-
NC_000913.3	1987926	-	2.72904432381788	3.97176351446588	98.2327555637366	3.71985680203619e-23	2.00314288789649e-20	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	1987913	-	3.17663829299	4.30338957851395	96.5530909897675	8.68825556292011e-23	4.21076305856923e-20	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	3708658	-	4.6209712254373	10.7919150368716	93.050884304092	5.09669856050342e-22	2.35249043556951e-19	tRNA	rna131	proK	tRNA-Pro	3708616	3708692	-
NC_000913.3	1987923	-	3.81448249716287	5.62336001156625	90.992301709229	1.44232168822823e-21	6.35473823818012e-19	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	1987919	-	3.08512742567611	5.6821426079983	80.9871817659239	2.27186536116121e-19	9.57443084597202e-17	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	4037293	+	3.5848222889212	3.85162191638858	78.4378112827947	8.2556733581073e-19	3.33426007750559e-16	tRNA	rna149	alaT	tRNA-Ala	4037260	4037335	+
NC_000913.3	1987922	-	4.04109375547914	8.14608094183119	77.0123532106087	1.69891978767005e-18	6.58705180075433e-16	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	3884429	+	2.28872552777874	3.49962529678136	74.0455107215517	7.63366453054221e-18	2.74048556646465e-15	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	696472	-	5.8747196773628	5.74589910675715	71.5952866060774	2.64187000256873e-17	8.83022273617196e-15	tRNA	rna16	glnX	tRNA-Gln	696430	696504	-
NC_000913.3	1987925	-	2.6949415646808	3.51751712596969	71.3299593541204	3.02211942594938e-17	9.76446786524246e-15	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	1987918	-	2.66027059943024	4.34192166366367	69.8260386401771	6.47721685327374e-17	1.96198946746195e-14	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	781384	+	2.34067383362841	3.25167158717371	66.321596621939	3.83038796054161e-16	1.12508940913727e-13	tRNA	rna28	lysZ	tRNA-Lys	781369	781444	+
NC_000913.3	696584	-	5.59142803493453	5.79154419184961	63.6765230054495	1.46621565609179e-15	4.18000833955816e-13	tRNA	rna17	glnV	tRNA-Gln	696542	696616	-
NC_000913.3	1987928	-	3.18986431130808	6.54314297752666	62.5865544131129	2.54988352053282e-15	6.86556137903463e-13	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
NC_000913.3	1292694	-	2.49711877191198	3.94334695534638	58.5043097734298	2.02846112341498e-14	4.91546841731536e-12	CDS	cds1235	hns	DNA-binding transcriptional dual regulator H-NS	1292509	1292922	-
NC_000913.3	451576	-	2.1328682439976	4.31869714182201	57.9812350009935	2.64630124823183e-14	6.25624341441734e-12	CDS	cds430	cyoA	cytochrome bo3 ubiquinol oxidase subunit 2	450663	451610	-
NC_000913.3	3884363	+	2.03629946281509	3.48039988197018	56.9761997857255	4.41118215417661e-14	1.01803782429605e-11	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	3884430	+	2.4355252959024	3.17127109735558	56.5656733533466	5.43524267590453e-14	1.19735925585324e-11	CDS	cds3686	rpmH	50S ribosomal subunit protein L34	3884336	3884476	+
NC_000913.3	3332980	-	2.43101296608611	3.81202058119356	56.3804714746659	5.97205648705904e-14	1.28638096731252e-11	CDS	cds3171	rpmA	50S ribosomal subunit protein L27	3332862	3333119	-
NC_000913.3	1987909	-	2.57105238327342	5.72748205244603	53.219301914115	2.9831309979521e-13	6.28597581807601e-11	CDS	cds1928	azuC	uncharacterized protein AzuC	1987873	1987959	-
