SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.48000186484407	2.0388695484041e-05
NC_000913.3	12	+	1.23697241773247	0.00184944474289486
NC_000913.3	13	+	0.947804784832957	0.0433113481608328
NC_000913.3	25	+	0.80869038010167	0.0678019664275684
NC_000913.3	32	+	0.790806768200896	0.0626553078877585
NC_000913.3	33	+	0.0795899137464278	0.899922807897675
NC_000913.3	34	+	1.2480983676383	0.00111730705223541
NC_000913.3	35	+	0.519723208951724	0.199452543585852
NC_000913.3	36	+	0.511239699300816	0.252064923468803
NC_000913.3	37	+	0.152465706866063	0.804589467065041
NC_000913.3	53	+	0.296379106164132	0.553026966783229
NC_000913.3	54	+	0.0696209926619839	0.902911755998065
NC_000913.3	55	+	0.0527365715030307	0.933221110595982
NC_000913.3	56	+	0.306632563199688	0.500336371339203
NC_000913.3	57	+	0.0787332831540652	0.892367327512276
NC_000913.3	60	+	0.130845924948268	0.842569960681643
NC_000913.3	62	+	0.176425589549379	0.776260103507045
NC_000913.3	65	+	0.686385109878632	0.1329134056676
NC_000913.3	66	+	0.0377071251791604	0.951153997322895
NC_000913.3	70	+	0.238430527768263	0.670200897104119
NC_000913.3	72	+	0.232223011185097	0.617831569134198
