SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.958685664996968	0.00752885196541245
NC_000913.3	4	+	0.682402479468253	0.111825255810724
NC_000913.3	5	+	0.0596932048641199	0.919481331826139
NC_000913.3	7	+	0.258619233167221	0.554076819909145
NC_000913.3	8	+	0.0328071185335923	0.953895392918999
NC_000913.3	10	+	0.330794821192831	0.408928737954426
NC_000913.3	15	+	0.0654423581197869	0.903703150323388
NC_000913.3	22	+	0.591253739244669	0.130927832226154
NC_000913.3	24	+	0.399501524792055	0.305977321154247
NC_000913.3	26	+	0.170249834178611	0.727010763218366
NC_000913.3	27	+	0.451312533899116	0.233780202000467
NC_000913.3	28	+	0.47767078938858	0.384716407259814
NC_000913.3	29	+	0.36656976978817	0.5007130209968
NC_000913.3	30	+	0.457577031461118	0.267923309523101
NC_000913.3	31	+	0.107889421674947	0.833352962930459
NC_000913.3	32	+	0.562037456087488	0.132094692575132
NC_000913.3	33	+	2.07235268806225	3.12943079811951e-10
NC_000913.3	34	+	0.871994547818566	0.0136639792124133
NC_000913.3	35	+	0.283765604167782	0.532148209343188
NC_000913.3	36	+	0.255730847496335	0.546348058120302
NC_000913.3	37	+	0.0150165214728685	0.980034439876607
NC_000913.3	38	+	0.011489479048119	0.984787296074522
NC_000913.3	39	+	0.13088159224529	0.78413157355795
NC_000913.3	42	+	0.0387595405158542	0.952307367533677
NC_000913.3	54	+	0.00876652787318033	0.991178392682533
NC_000913.3	59	+	0.0581273510502516	0.923512511345822
NC_000913.3	64	+	0.0938844147256865	0.875997127423342
