SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.843081074784647	0.0589688597978931
NC_000913.3	5	+	0.71019970151364	0.0807876989941764
NC_000913.3	10	+	0.769471079142662	0.0746969191119155
NC_000913.3	12	+	1.3003598534668	0.000871442731872521
NC_000913.3	15	+	0.509556284447556	0.236300330423964
NC_000913.3	19	+	1.01315501554403	0.0334520868477212
NC_000913.3	20	+	0.837697510821931	0.0679393516500249
NC_000913.3	21	+	0.539372110404553	0.269291932063048
NC_000913.3	22	+	0.340541038384842	0.51561349440348
NC_000913.3	23	+	5.80668945119568e-05	0.999975408637338
NC_000913.3	24	+	0.119658218929149	0.837630186559689
NC_000913.3	29	+	0.242467550127735	0.719876421833617
NC_000913.3	30	+	0.699184959441294	0.144171500856515
NC_000913.3	31	+	0.679067285028435	0.200423468048782
NC_000913.3	33	+	3.29696686074378	2.39503173062092e-18
NC_000913.3	34	+	0.622552469672386	0.174435420207654
NC_000913.3	35	+	0.343400910478747	0.447502632200835
NC_000913.3	46	+	0.488659755473708	0.322994208194636
NC_000913.3	49	+	0.441056835388984	0.515986173009694
NC_000913.3	56	+	0.383467099012782	0.430544881877515
NC_000913.3	57	+	0.13008657463247	0.831220696488536
NC_000913.3	59	+	0.0733886724396851	0.911705583892628
