SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	15	+	0.516651841565558	0.253668894062578
NC_000913.3	34	+	0.4200317591094	0.402528423684673
NC_000913.3	35	+	0.140152193458808	0.784818574296698
NC_000913.3	41	+	0.95267786395621	0.0147702183131216
NC_000913.3	42	+	0.894300630460229	0.0300536853976391
NC_000913.3	47	+	0.636050323890393	0.164822755436741
NC_000913.3	48	+	0.405605691054629	0.411449774066104
NC_000913.3	49	+	0.501658098283617	0.259111567431833
NC_000913.3	50	+	0.272410402239419	0.528881262516182
NC_000913.3	51	+	0.514402604667994	0.268731781227366
NC_000913.3	53	+	0.627104558760784	0.190258606560013
NC_000913.3	54	+	0.310180135267606	0.469639852066508
NC_000913.3	56	+	0.350419230551442	0.382140840636869
NC_000913.3	57	+	0.31880802986041	0.535422160356098
NC_000913.3	58	+	0.460223233401136	0.296472165843388
NC_000913.3	59	+	0.00224315937039891	0.997158982759109
NC_000913.3	60	+	0.40950201615552	0.36920887263456
NC_000913.3	61	+	0.664627991038381	0.0815188431818876
NC_000913.3	62	+	0.489167771734162	0.204028335416592
NC_000913.3	65	+	0.384265385706005	0.389565413250855
NC_000913.3	66	+	0.409578121593216	0.335343329283063
NC_000913.3	70	+	0.34906288006011	0.530240831461755
NC_000913.3	75	+	0.274582639929705	0.511975529364942
NC_000913.3	76	+	0.227529072021494	0.628273706797766
