SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.913229221481395	0.0303385922660954
NC_000913.3	5	+	0.636530048486442	0.12532679235949
NC_000913.3	6	+	0.644764963646459	0.126233307516888
NC_000913.3	10	+	0.860544775878472	0.0148209854637628
NC_000913.3	11	+	0.794282619696809	0.0580909288069824
NC_000913.3	12	+	0.896720732682809	0.0180950219345193
NC_000913.3	15	+	0.995847170679361	0.0117399322451158
NC_000913.3	19	+	1.06867430860486	0.00883674219392966
NC_000913.3	20	+	0.843018537330872	0.0434472771207746
NC_000913.3	22	+	1.16037760638537	0.00825924271128175
NC_000913.3	24	+	0.243960947456847	0.630460502081079
NC_000913.3	31	+	0.317259553301005	0.517519772854652
NC_000913.3	32	+	0.433526877415166	0.353676979575143
NC_000913.3	33	+	2.96650043777896	1.14931229422223e-15
NC_000913.3	34	+	0.817677266015639	0.0343652544687325
NC_000913.3	35	+	0.595779988568187	0.133498017377656
NC_000913.3	36	+	0.349988286914192	0.451587624018552
