SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.84887504147845	0.0520605897806225
NC_000913.3	5	+	0.554340897298797	0.186285570118599
NC_000913.3	6	+	0.778469437738013	0.0622725731432632
NC_000913.3	10	+	1.08225163529424	0.00335491112844239
NC_000913.3	11	+	0.954365839798305	0.0285506789465706
NC_000913.3	12	+	1.16808766915059	0.00116646943760904
NC_000913.3	13	+	1.46069292766963	0.00171808344513582
NC_000913.3	15	+	0.979898719920404	0.00508179094712576
NC_000913.3	19	+	1.03450044180953	0.0122451765063297
NC_000913.3	20	+	0.899191269748311	0.0257614012026171
NC_000913.3	21	+	1.01354542814756	0.0124708921306161
NC_000913.3	22	+	0.922993808729654	0.0216822598370277
NC_000913.3	23	+	0.241315320943185	0.650468966230761
NC_000913.3	24	+	0.434580061169613	0.271493351769803
NC_000913.3	29	+	0.416609598373278	0.451879023533449
NC_000913.3	30	+	0.803428006015183	0.0813063680402251
NC_000913.3	31	+	0.709793211354588	0.102230549183255
NC_000913.3	33	+	4.50037020004344	1.52271794330762e-31
NC_000913.3	34	+	0.707212548578614	0.102510303153953
NC_000913.3	35	+	0.885193438686184	0.0146170732357427
NC_000913.3	36	+	0.745140586286083	0.0863453350624676
NC_000913.3	53	+	1.25737451345653	0.00510806399067401
NC_000913.3	54	+	1.01844602569528	0.0310286922221073
NC_000913.3	55	+	1.08723752377788	0.00713359395246679
NC_000913.3	73	+	0.0288888725849523	0.967427498879801
