SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.3066200094503	0.000105813145335138
NC_000913.3	3	+	0.390869418258201	0.474757313475217
NC_000913.3	12	+	1.56227825665861	0.000200630320058887
NC_000913.3	32	+	0.58287509144021	0.148421748687493
NC_000913.3	33	+	0.0711596060872222	0.907496888058557
NC_000913.3	34	+	1.71074876233721	3.01082878335579e-06
NC_000913.3	35	+	0.429462675061667	0.340274756258842
NC_000913.3	36	+	0.638903087819529	0.179789527994794
NC_000913.3	37	+	0.444855838275855	0.33359178228439
NC_000913.3	38	+	0.837936303601643	0.0705507812906284
NC_000913.3	53	+	0.0230802343247633	0.974034679465497
NC_000913.3	54	+	0.128238104235023	0.80725136084794
NC_000913.3	55	+	0.629459536903576	0.110336721892618
NC_000913.3	56	+	0.503884062866211	0.1901339475355
NC_000913.3	57	+	0.351665563753393	0.412984983340747
NC_000913.3	60	+	0.486448608652611	0.389833163641703
NC_000913.3	61	+	0.25598708612932	0.656446372036228
NC_000913.3	62	+	0.282853611609602	0.627420708630453
NC_000913.3	66	+	0.257372337354629	0.644887331274323
NC_000913.3	67	+	0.157744369410074	0.793403336277521
NC_000913.3	70	+	0.46236977375549	0.354421547427925
NC_000913.3	71	+	0.131963306700487	0.80913383790101
NC_000913.3	72	+	0.0793051749777864	0.891686142343972
NC_000913.3	73	+	0.529174536368164	0.2666935150363
