SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.71860657073521	2.20931753149998e-08
NC_000913.3	10	+	0.64654193997728	0.27085692434183
NC_000913.3	12	+	1.38497656078676	0.000372574047145727
NC_000913.3	13	+	1.33787915621208	0.00235437492485259
NC_000913.3	15	+	1.03271530469	0.0394793553297636
NC_000913.3	20	+	0.23933307572801	0.718132396843675
NC_000913.3	22	+	0.668004308386812	0.137365278505625
NC_000913.3	27	+	0.306699228895122	0.643551119525214
NC_000913.3	40	+	0.657027740419156	0.209942842121993
NC_000913.3	42	+	0.897414674330116	0.0703354727612765
