SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	2.89301265760577	6.28504240832961e-14
NC_000913.3	1	+	3.50106511663016	5.44181567117482e-10
NC_000913.3	5	+	0.932445377060463	0.101934224070957
NC_000913.3	6	+	0.606407718762865	0.177330097203055
NC_000913.3	7	+	0.399257801430861	0.405746022290617
NC_000913.3	8	+	0.437545499952788	0.321512260843225
NC_000913.3	10	+	0.578040639777716	0.238084926349757
NC_000913.3	11	+	0.673214844774933	0.0708250948768356
NC_000913.3	17	+	0.391413137802658	0.390561211146024
NC_000913.3	18	+	0.44943088031014	0.268804406534545
NC_000913.3	19	+	0.388377776301842	0.419521182326109
NC_000913.3	20	+	0.737925224700356	0.0866683463720985
NC_000913.3	21	+	0.722352987031826	0.146147230752652
NC_000913.3	31	+	0.766245686326771	0.0560464046923605
NC_000913.3	32	+	0.408055641129705	0.354890582189182
NC_000913.3	33	+	0.350117351592116	0.459573800015967
NC_000913.3	34	+	0.617181225953954	0.123082891671181
NC_000913.3	35	+	4.91333931544101	2.13289862042611e-45
NC_000913.3	36	+	0.513336707289301	0.201179146677449
NC_000913.3	37	+	0.61784602359416	0.197734460868201
NC_000913.3	41	+	0.624132396252184	0.240706235458281
NC_000913.3	44	+	1.01535446779452	0.044501047480364
NC_000913.3	53	+	0.461666878555812	0.298893440071403
NC_000913.3	55	+	0.458389121987121	0.303942523823508
NC_000913.3	62	+	0.373273164250795	0.51139514488746
NC_000913.3	63	+	0.491606828898807	0.306042771388845
NC_000913.3	70	+	1.01396592760914	0.00700128578730296
NC_000913.3	71	+	0.0134758950255323	0.984529787244093
NC_000913.3	72	+	0.466057760755655	0.330035220512743
NC_000913.3	73	+	0.0722503008643957	0.89688645664854
