SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.0324301819394	0.00596202551699869
NC_000913.3	4	+	1.41295212557703	0.00507466289160088
NC_000913.3	5	+	0.974811387525458	0.0390189633051814
NC_000913.3	6	+	1.04785113120409	0.0314908093205942
NC_000913.3	7	+	0.520348293285563	0.284677951708397
NC_000913.3	8	+	1.05006640718224	0.00333872149664857
NC_000913.3	9	+	0.754093625397703	0.0379814380350839
NC_000913.3	10	+	0.6320376179427	0.181594555447039
NC_000913.3	11	+	0.975295361858836	0.00744486089022395
NC_000913.3	12	+	1.38165529251194	6.96655268656067e-05
NC_000913.3	13	+	1.18359797756792	0.0025112184794637
NC_000913.3	14	+	0.858309510921024	0.0418010519967345
NC_000913.3	15	+	0.667851184767262	0.0784782273705728
NC_000913.3	16	+	1.28626130165773	0.000569225150879432
NC_000913.3	17	+	0.950219281974044	0.0206324286497765
NC_000913.3	18	+	0.906883428617924	0.0221664843250157
NC_000913.3	19	+	1.05461499575736	0.00745119584769866
NC_000913.3	20	+	0.49541436260479	0.347103792688997
NC_000913.3	21	+	0.665912260296611	0.130049678877511
NC_000913.3	22	+	0.804454784130196	0.0255182711952035
NC_000913.3	23	+	0.782011497829464	0.0707450807511025
NC_000913.3	24	+	1.14803193869448	0.00174179858027111
NC_000913.3	25	+	0.873387223997319	0.0409836660572526
NC_000913.3	26	+	0.854176356037128	0.0533325517727836
NC_000913.3	28	+	0.527735893719124	0.369070533195493
NC_000913.3	29	+	0.193399620189635	0.732402690908996
NC_000913.3	30	+	0.496465632311003	0.281535911465985
NC_000913.3	31	+	0.937747993004312	0.0277673033724706
NC_000913.3	32	+	1.26582012041111	0.00255973679303421
NC_000913.3	33	+	2.47284884590418	4.92537433043671e-08
NC_000913.3	35	+	0.537757907267989	0.244615533402833
NC_000913.3	36	+	1.14530236053076	0.0112849057139716
NC_000913.3	38	+	1.77723687439851	0.000540311221114516
NC_000913.3	39	+	0.962154556245459	0.0350442918435531
NC_000913.3	40	+	1.01190579359878	0.0518360497799153
