SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.56307675708163	1.3303899803415e-06
NC_000913.3	6	+	1.27953393153119	0.000985105914783173
NC_000913.3	7	+	0.699913277519413	0.0775643385023543
NC_000913.3	8	+	0.832790485192286	0.0518838823086754
NC_000913.3	10	+	1.19025105902428	0.0020232627954229
NC_000913.3	11	+	1.08413471178926	0.0110265484751182
NC_000913.3	12	+	1.4729800937235	7.94658831479952e-05
NC_000913.3	13	+	1.40565014430745	9.62973755262479e-05
NC_000913.3	14	+	1.08212810985779	0.00185857811445022
NC_000913.3	15	+	0.741203538208678	0.0493167162944821
NC_000913.3	16	+	0.783355529247191	0.0438933701463688
NC_000913.3	17	+	0.498009215539311	0.258487160341691
NC_000913.3	18	+	1.22168356312802	0.00121845089386555
NC_000913.3	19	+	1.22743785554309	0.0033962106359103
NC_000913.3	20	+	0.898304244335562	0.0668769366607666
NC_000913.3	21	+	0.974565094457697	0.0277882447936508
NC_000913.3	22	+	1.21532940096297	0.00187657739122696
NC_000913.3	23	+	1.70057963476865	0.000181707487181366
NC_000913.3	24	+	1.54561296873804	0.000194927678722654
NC_000913.3	25	+	1.49287547811886	0.000508240574601184
