SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	6	+	0.266355748228596	0.617527359189363
NC_000913.3	7	+	0.68214768472474	0.138914332060792
NC_000913.3	10	+	0.246688405210505	0.649800788740585
NC_000913.3	11	+	0.15698126838465	0.813995826990971
NC_000913.3	12	+	0.460406683858023	0.339990416768734
NC_000913.3	13	+	0.415033652547209	0.274657045997
NC_000913.3	15	+	0.193397370254168	0.704886741652017
NC_000913.3	16	+	0.265471318469949	0.631651135265375
NC_000913.3	32	+	0.740669866562843	0.133559443517076
NC_000913.3	33	+	3.81749961134522	1.14556777213936e-24
NC_000913.3	34	+	5.18485630519495	3.58474846835013e-50
NC_000913.3	35	+	0.719309401833402	0.082605017651107
NC_000913.3	36	+	0.411369463024742	0.355687411262893
NC_000913.3	37	+	0.657391262025075	0.0675429913037735
NC_000913.3	38	+	1.80036448718667	5.85879233488758e-06
NC_000913.3	39	+	0.51228698894124	0.189755645717714
NC_000913.3	40	+	1.101318011707	0.00463409099405298
NC_000913.3	41	+	0.515494200686171	0.21134909259312
NC_000913.3	42	+	0.384989562192805	0.346366739336995
NC_000913.3	43	+	0.0938479047321334	0.870585904532818
NC_000913.3	46	+	0.260987046618906	0.610871630928846
NC_000913.3	47	+	0.326733931140088	0.481140787495905
NC_000913.3	55	+	0.0771264033665801	0.883567956762528
NC_000913.3	61	+	0.286106230013824	0.552939919234166
NC_000913.3	62	+	0.0665527592531908	0.906247360662118
NC_000913.3	63	+	0.145610403198429	0.815264730087356
NC_000913.3	64	+	0.627941903473054	0.104677197463884
NC_000913.3	65	+	0.339777488839047	0.460552146050255
NC_000913.3	66	+	0.375110188906233	0.372466718404158
NC_000913.3	67	+	0.707749659040362	0.162964760134528
NC_000913.3	69	+	0.350340938169215	0.46969678461642
NC_000913.3	71	+	0.449951906061903	0.312380551067948
NC_000913.3	72	+	0.0686895461145177	0.909685025893838
NC_000913.3	73	+	0.371707772465573	0.421316918678141
NC_000913.3	74	+	0.221398681248906	0.643529911896162
NC_000913.3	75	+	0.536366157965594	0.182134419406151
