SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.12240024729585	0.00109343019047705
NC_000913.3	1	+	1.73690623034425	0.00046520623928803
NC_000913.3	6	+	1.16709430347818	0.00827021887410082
NC_000913.3	10	+	1.16054034760502	0.0077712682962101
NC_000913.3	11	+	0.854236913402713	0.0512530801156527
NC_000913.3	12	+	1.8615867304189	1.82894692614562e-05
NC_000913.3	13	+	1.65845611873332	0.000479096552080678
NC_000913.3	24	+	0.999884550820495	0.0181411400295669
NC_000913.3	30	+	0.529563910753581	0.271365744443322
NC_000913.3	33	+	2.47024162984875	6.87403708100003e-11
NC_000913.3	34	+	0.220265502811291	0.686845785999212
NC_000913.3	35	+	0.537214664418537	0.212265212283007
