SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.820962313483118	0.0647768760634019
NC_000913.3	10	+	0.536559421613669	0.159386712369894
NC_000913.3	11	+	0.350321830996406	0.467647814882961
NC_000913.3	12	+	0.780540707182123	0.0231940763405709
NC_000913.3	13	+	0.796277279634969	0.0486645539857993
NC_000913.3	15	+	0.629685325589443	0.107596288820199
NC_000913.3	16	+	0.816891085951107	0.0340835150408919
NC_000913.3	18	+	0.717802541901347	0.0424568990322054
NC_000913.3	19	+	0.884977711419815	0.0127025796848247
NC_000913.3	20	+	0.692250674800165	0.0575325735864542
NC_000913.3	21	+	0.897204308087113	0.0402577002145606
NC_000913.3	22	+	0.523772190819262	0.22083634940913
NC_000913.3	23	+	0.78137062035817	0.0656455936654776
NC_000913.3	24	+	0.642596458118057	0.0870617534157173
NC_000913.3	25	+	0.587496229219288	0.176506946746999
NC_000913.3	26	+	0.331045472225826	0.440761457134337
NC_000913.3	27	+	0.784192883203081	0.0450242653810613
NC_000913.3	28	+	1.30250229376416	0.00613560197499063
NC_000913.3	29	+	0.76100738561389	0.0401804428763093
NC_000913.3	30	+	0.647856992444448	0.100869012699643
NC_000913.3	31	+	0.505272069180771	0.288212251130827
NC_000913.3	32	+	0.501246916703768	0.278062746046909
NC_000913.3	33	+	2.04860250744371	2.14088083261722e-08
NC_000913.3	34	+	0.615562432503506	0.186087595702331
NC_000913.3	35	+	0.710507946569749	0.0706580316855449
NC_000913.3	37	+	1.28817713881242	0.00241964416266461
NC_000913.3	41	+	0.714834872119125	0.0879424256321791
NC_000913.3	42	+	0.852904533401123	0.0201633209079592
NC_000913.3	43	+	0.366593610623794	0.415695232672881
NC_000913.3	46	+	0.60354544741664	0.291153034937415
NC_000913.3	47	+	0.271303436043307	0.684449824279823
NC_000913.3	50	+	0.764473557052774	0.0446707137654849
NC_000913.3	51	+	0.933661399572925	0.0115789228327107
NC_000913.3	52	+	0.785090901808502	0.0584324274692076
NC_000913.3	53	+	1.18090246045644	0.000731584964712189
NC_000913.3	54	+	1.08260571150391	0.00236955236528676
NC_000913.3	55	+	1.01461463418495	0.00371755463461119
NC_000913.3	56	+	0.707848496703366	0.0962971652650376
NC_000913.3	57	+	1.38432987426004	0.00017782645812598
NC_000913.3	58	+	1.02193293691602	0.00574517736501019
NC_000913.3	59	+	0.653402133736296	0.102206685712444
NC_000913.3	60	+	0.904992465885129	0.01736949823303
NC_000913.3	61	+	0.766947905878926	0.116590686899103
NC_000913.3	63	+	0.79318396063145	0.0993680443833539
NC_000913.3	64	+	0.884451859883935	0.0192407357132379
NC_000913.3	65	+	0.707042323525172	0.106316793845846
NC_000913.3	66	+	1.1721086884416	0.0202005807982288
NC_000913.3	67	+	1.16338475493277	0.012432472806123
NC_000913.3	68	+	1.12080393165048	0.0139919654989496
NC_000913.3	71	+	0.935474412761548	0.0410535091439511
NC_000913.3	73	+	0.940812318178751	0.0192029323455562
NC_000913.3	74	+	1.02633682027381	0.0100519655435217
NC_000913.3	75	+	1.16670822744044	0.00309552017579824
